entity_label,start_position,end_position,correct_prediction,candidates,matching_candidate_index
Bandar Seri Begawan,0,19,True,"[[""Bandar Seri Begawan"", 0.928, 1.0, 0.839, 0.354], [""Pusat Bandar, Brunei"", 0.923, 0.46, 0.289, 0.348], [""1999 Southeast Asian Games"", 0.928, 0.27, 0.349, 0.189], [""List of diplomatic missions of Russia"", 0, 0.21, 1.0, 0.087], [""List of diplomatic missions of India"", 0, 0.22, 0.889, 0.161], [""Embassy of the Philippines, Bandar Seri Begawan"", 0, 0.58, 0.124, 0.45], [""Bandar Seri Begawan"", 0, 1.0, 0.0, 0.147], [""Bandar Seri Begawan"", 0, 1.0, 0.0, 0.147], [""Flughafen Bandar Seri Begawan"", 0, 0.79, 0.0, 0.147], [""Deutsche Botschaft Bandar Seri Begawan"", 0, 0.67, 0.0, 0.147]]",0
AFP,26,29,False,"[[""AFC Ajax"", 0.697, 0.36, 0.937, -0.12], [""AFC Wimbledon"", 0.697, 0.25, 0.806, 0.007], [""Sunderland A.F.C."", 0.697, 0.2, 1.0, -0.148], [""Armed Forces of the Philippines"", 0.694, 0.18, 0.463, 0.302], [""Agence France-Presse"", 0.654, 0.26, 0.356, 0.226], [""Alpha-fetoprotein"", 0.892, 0.1, 0.345, 0.057], [""AFP"", 0, 1.0, 0.056, 0.147], [""AFP-L3"", 0, 0.67, 0.0, 0.147], [""Armed Forces of the Philippines Medal of Valor"", 0, 0.12, 0.423, 0.126], [""AFP Visayas Command"", 0, 0.27, 0.0, 0.147]]",4
NPR NEWS,16,24,True,"[[""NPR"", 0.744, 0.55, 0.629, 0.067], [""American Broadcasting Company"", 0.744, 0.05, 0.989, 0.037], [""New Patriotic Party"", 0.709, 0.22, 0.661, 0.024], [""Weekend Edition"", 0.961, 0.17, 0.201, 0.033], [""New Democratic Party"", 0.709, 0.14, 0.612, -0.121], [""News-Press & Gazette Company"", 0.653, 0.17, 0.397, 0.068], [""Journalist"", 0, 0.0, 1.0, 0.039], [""KCUR-FM"", 0.795, 0.13, 0.093, -0.004], [""Robert Smith"", 0, 0.3, 0.485, 0.081], [""Ann Taylor (newscaster)"", 0, 0.06, 0.0, 0.116]]",0
Washington,28,38,True,"[[""Washington, D.C."", 0.848, 0.77, 1.0, -0.011], [""Washington (state)"", 0.748, 0.71, 0.786, 0.11], [""Tacoma, Washington"", 0.848, 0.71, 0.346, 0.167], [""Washington Capitals"", 0.854, 0.69, 0.418, -0.005], [""Spokane, Washington"", 0.848, 0.69, 0.338, 0.02], [""Seattle"", 0.848, 0.24, 0.647, 0.113], [""Washington"", 0, 1.0, 0.0, 0.081], [""University of Washington"", 0, 0.59, 0.47, 0.017], [""George Washington University"", 0, 0.53, 0.411, 0.051], [""Washington University in St. Louis"", 0, 0.45, 0.224, 0.088]]",0
Miami Dade County,500,517,True,"[[""Miami-Dade County, Florida"", 0.747, 0.74, 1.0, 0.286], [""Miami Gardens, Florida"", 0.847, 0.56, 0.603, 0.249], [""Metrorail (Miami-Dade County)"", 0.846, 0.7, 0.486, 0.135], [""Miami International Airport"", 0.845, 0.45, 0.642, 0.157], [""Homestead, Florida"", 0.847, 0.29, 0.603, 0.22], [""Miami-Dade County Public Schools"", 0, 0.65, 0.812, 0.296], [""Sweetwater, Miami-Dade County, Florida"", 0.847, 0.58, 0.0, 0.177], [""Miami Dade College"", 0, 0.74, 0.575, 0.198], [""List of communities in Miami-Dade County, Florida"", 0, 0.48, 0.42, 0.266], [""Government of Miami-Dade County"", 0, 0.67, 0.061, 0.256]]",0
Democrats,586,595,True,"[[""Democratic Party (United States)"", 0.871, 0.44, 1.0, 0.018], [""Liberal Democrats (UK)"", 0.871, 0.58, 0.283, 0.054], [""Democrats 66"", 0.871, 0.86, 0.0, 0.005], [""Social Democratic Party of Germany"", 0.871, 0.37, 0.412, 0.006], [""Democrats of the Left"", 0.871, 0.6, 0.079, 0.082], [""Social Democrats (Denmark)"", 0.871, 0.51, 0.027, -0.035], [""Alliance of Liberals and Democrats for Europe Party"", 0.871, 0.3, 0.063, -0.043], [""Social democracy"", 0, 0.48, 0.445, -0.095], [""Christian democracy"", 0, 0.43, 0.283, -0.02], [""Progressive Alliance of Socialists and Democrats"", 0, 0.32, 0.029, -0.076]]",0
Palm Beach County,653,670,True,"[[""Palm Beach County, Florida"", 0.747, 0.79, 0.917, 0.185], [""Florida State Road A1A"", 0.842, 0.26, 0.899, 0.162], [""Dixie Highway (Broward\u2013Palm Beach)"", 0.842, 0.39, 0.538, 0.154], [""Wellington, Florida"", 0.857, 0.17, 0.676, 0.19], [""High Point, Palm Beach County, Florida"", 0.856, 0.62, 0.0, 0.229], [""Broward County Public Schools"", 0, 0.39, 0.876, 0.194], [""School District of Palm Beach County"", 0, 0.64, 0.562, 0.217], [""List of former state roads in Florida"", 0, 0.22, 1.0, 0.177], [""Palm Beach County Fire Rescue"", 0, 0.74, 0.168, 0.296], [""List of county roads in Palm Beach County, Florida"", 0, 0.51, 0.122, 0.215]]",0
Al Gore,567,574,True,"[[""Al Gore"", 0.7, 1.0, 0.535, 0.193], [""Bush v. Gore"", 0.941, 0.53, 0.246, 0.451], [""Albert Gore Sr."", 0.7, 0.64, 0.257, 0.158], [""Gore (album)"", 0.979, 0.42, 0.04, 0.19], [""List of minor planets: 7001\u20138000"", 0, 0.21, 1.0, 0.0], [""Al Gore and information technology"", 0, 0.34, 0.144, 0.177], [""Al Gore 2000 presidential campaign"", 0, 0.34, 0.072, 0.235], [""Environmental activism of Al Gore"", 0, 0.35, 0.04, 0.164], [""Al Gore presidential campaign"", 0, 0.39, 0.0, 0.091], [""List of awards and honors received by Al Gore"", 0, 0.27, 0.0, 0.091]]",0
Washington State,557,573,True,"[[""Washington (state)"", 0.716, 0.88, 0.682, 0.062], [""Washington, D.C."", 0.804, 0.69, 0.824, -0.003], [""Seattle"", 0.804, 0.35, 0.591, 0.095], [""Spokane, Washington"", 0.804, 0.57, 0.387, 0.044], [""Eastern Time Zone"", 0, 0.36, 1.0, -0.019], [""Pacific Time Zone"", 0, 0.3, 0.74, 0.002], [""Washington State University"", 0, 0.74, 0.204, 0.087], [""Town"", 0, 0.2, 0.846, -0.102], [""List of Primary State Highways in Washington"", 0, 0.33, 0.119, 0.058], [""List of former state routes in Washington"", 0, 0.35, 0.0, 0.103]]",0
Seattle,704,711,True,"[[""Seattle"", 0.848, 1.0, 1.0, 0.095], [""Seattle Seahawks"", 0.881, 0.61, 0.946, -0.039], [""Seattle Sounders FC"", 0.914, 0.54, 0.569, -0.055], [""Seattle Mariners"", 0.871, 0.61, 0.534, -0.067], [""Seattle SuperSonics"", 0.854, 0.54, 0.537, -0.054], [""Seattle Sounders (1994\u20132008)"", 0.914, 0.4, 0.453, -0.087], [""Seattle Storm (soccer)"", 0.914, 0.48, 0.033, -0.072], [""Seattle-Tacoma Shipbuilding Corporation"", 0.864, 0.3, 0.0, 0.007], [""University of Washington"", 0, 0.19, 0.8, -0.013], [""Seattle metropolitan area"", 0, 0.44, 0.0, 0.098]]",0
