Filename,Dataset,NER Model,KG,Candidate Strategy,Use Ontology Mapping Score,Execution Time (s),NER Accuracy,NED Accuracy,NED Precision,NED Recall,NED F1 Score,NED Efficiency
evaluation_20250401_224729.json,aida_test_medium.json,tomaarsen/span-marker-bert-base-fewnerd-fine-super,dbpedia,sum_of_metrics,False,86.41,0.4808,0.1974,0.6286,0.2235,0.3297,0.46
evaluation_20250401_120053.json,ace2004_full.json,tomaarsen/span-marker-bert-base-fewnerd-fine-super,dbpedia,candidate_selector_neural_network,False,1318.83,0.716,0.0847,0.091,0.5525,0.1562,0.77
evaluation_20250401_224439.json,aida_test_medium.json,tomaarsen/span-marker-bert-base-fewnerd-fine-super,dbpedia,candidate_selector_random_forest_classifier,False,75.11,0.4808,0.2343,0.6676,0.2652,0.3796,0.55
evaluation_20250401_223553.json,aida_test_medium.json,tomaarsen/span-marker-xlm-roberta-large-conllpp-doc-context,dbpedia,sum_of_metrics,False,122.4,0.9176,0.3279,0.632,0.4052,0.4938,0.44
evaluation_20250401_090630.json,ace2004_full.json,tomaarsen/span-marker-xlm-roberta-large-conllpp-doc-context,dbpedia,candidate_selector_neural_network,False,1443.82,0.8521,0.086,0.0906,0.6304,0.1584,0.74
evaluation_20250401_101221.json,ace2004_full.json,tomaarsen/span-marker-roberta-large-ontonotes5,dbpedia,candidate_selector_neural_network,True,1123.2,0.7704,0.0861,0.0907,0.6265,0.1585,0.81
evaluation_20250401_093002.json,ace2004_full.json,tomaarsen/span-marker-xlm-roberta-large-conllpp-doc-context,dbpedia,sum_of_metrics,True,1412.11,0.8521,0.0728,0.0777,0.5331,0.1356,0.63
evaluation_20250401_122251.json,ace2004_full.json,tomaarsen/span-marker-bert-base-fewnerd-fine-super,dbpedia,sum_of_metrics,True,1317.84,0.716,0.0692,0.0756,0.4514,0.1295,0.63
evaluation_20250401_180651.json,ace2004_full.json,tomaarsen/span-marker-roberta-large-ontonotes5,dbpedia,candidate_selector_random_forest_classifier,False,1479.66,0.7704,0.0839,0.0887,0.6109,0.1548,0.79
evaluation_20250401_224036.json,aida_test_medium.json,tomaarsen/span-marker-roberta-large-ontonotes5,dbpedia,sum_of_metrics,True,93.17,0.5384,0.2179,0.6254,0.2506,0.3578,0.47
evaluation_20250401_224324.json,aida_test_medium.json,tomaarsen/span-marker-bert-base-fewnerd-fine-super,dbpedia,candidate_selector_random_forest_classifier,True,70.78,0.4808,0.2343,0.6676,0.2652,0.3796,0.55
evaluation_20250401_222936.json,aida_test_medium.json,tomaarsen/span-marker-xlm-roberta-large-conllpp-doc-context,dbpedia,candidate_selector_random_forest_classifier,True,129.6,0.9176,0.3708,0.6602,0.4582,0.541,0.5
evaluation_20250401_224214.json,aida_test_medium.json,tomaarsen/span-marker-roberta-large-ontonotes5,dbpedia,sum_of_metrics,False,97.81,0.5384,0.2179,0.6254,0.2506,0.3578,0.47
evaluation_20250401_223350.json,aida_test_medium.json,tomaarsen/span-marker-xlm-roberta-large-conllpp-doc-context,dbpedia,sum_of_metrics,True,128.15,0.9176,0.3279,0.632,0.4052,0.4938,0.44
evaluation_20250401_111811.json,ace2004_full.json,tomaarsen/span-marker-roberta-large-ontonotes5,dbpedia,sum_of_metrics,False,1368.8,0.7704,0.0732,0.0782,0.5331,0.1365,0.69
